case_id,scenario,incident_description,expected_root_cause,actual_root_cause,expected_status,actual_status,expected_tools,selected_tools,expected_machine,actual_machine,fallback_used,latency_ms,root_cause_correct,status_correct,machine_correct,error
COFFEE-001,low_beans,CM-1001 is suddenly making watery espresso.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,118.13629997777753,True,False,True,
COFFEE-002,low_beans,Espresso from CM-1001 finishes too quickly and tastes weak.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,3.4313999931328,True,False,True,
COFFEE-003,low_beans,CM-1001 coffee looks pale even on the strongest setting.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,6.989199988311157,True,False,True,
COFFEE-004,low_beans,The lobby espresso from CM-1001 is basically bean-flavoured water.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,4.21809998806566,True,False,True,
COFFEE-005,low_beans,CM-1001 shots use very little coffee and extract too fast.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,8.46739998087287,True,False,True,
COFFEE-006,low_beans,Please investigate LOW_BEANS warnings on CM-1001.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,3.493600001093,True,False,True,
COFFEE-007,low_beans,CM-1001 made several watery drinks this morning.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,7.854899973608553,True,False,True,
COFFEE-008,low_beans,The grinder on CM-1001 sounds empty and espresso is weak.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,5.29230001848191,True,False,True,
COFFEE-009,low_beans,"CM-1001 says it brewed successfully, but the cup is almost clear.",low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,5.824899999424815,True,False,True,
COFFEE-010,low_beans,The bean hopper warning keeps returning on CM-1001.,low_bean_hopper,low_bean_hopper,diagnosed,fallback_diagnosis,get_supply_levels|get_recent_brews|search_application_logs,,CM-1001,CM-1001,True,6.144600018160418,True,False,True,
COFFEE-011,milk_fault,CM-1002 cappuccino has no milk foam.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,61.424899991834536,True,False,True,
COFFEE-012,milk_fault,The coffee works but the milk system on CM-1002 does not.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,6.022500019753352,True,False,True,
COFFEE-013,milk_fault,CM-1002 serves flat cappuccino with no foam.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,7.176300015999004,True,False,True,
COFFEE-014,milk_fault,Please investigate the disconnected milk line on CM-1002.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,6.907500006491318,True,False,True,
COFFEE-015,milk_fault,CM-1002 reports zero milk despite a cappuccino request.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,5.336000001989305,True,False,True,
COFFEE-016,milk_fault,The foam cycle keeps failing on CM-1002.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,7.521199993789196,True,False,True,
COFFEE-017,milk_fault,CM-1002 latte contains coffee but no steamed milk.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,5.431900004623458,True,False,True,
COFFEE-018,milk_fault,MILK_LINE_DISCONNECTED appears for CM-1002.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,5.791200004750863,True,False,True,
COFFEE-019,milk_fault,CM-1002 makes espresso but skips the milk stage of every latte.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,14.269000006606802,True,False,True,
COFFEE-020,milk_fault,The milk container is full but CM-1002 cannot detect it.,milk_system_fault,milk_system_fault,diagnosed,fallback_diagnosis,get_sensor_alerts|get_supply_levels|get_recent_brews,,CM-1002,CM-1002,True,8.430799993220717,True,False,True,
COFFEE-021,overheating,CM-1003 feels dangerously hot and aborts drinks.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,50.897000008262694,True,False,True,
COFFEE-022,overheating,Boiler temperature is rising on CM-1003.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,3.5650999925564975,True,False,True,
COFFEE-023,overheating,CM-1003 stopped mid-brew with an OVERHEAT warning.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,4.385099979117513,True,False,True,
COFFEE-024,overheating,Several CM-1003 drinks aborted for thermal safety.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,3.5207000037189573,True,False,True,
COFFEE-025,overheating,The side panel of CM-1003 is much hotter than normal.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,3.9834999770391732,True,False,True,
COFFEE-026,overheating,Investigate 101 C temperature readings from CM-1003.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,3.2833000004757196,True,False,True,
COFFEE-027,overheating,CM-1003 overheats after starting an espresso.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,7.568999979412183,True,False,True,
COFFEE-028,overheating,The heater on CM-1003 may not be switching off.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,3.965299983974546,True,False,True,
COFFEE-029,overheating,Steam and heat alarms appear together on CM-1003.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,7.567499997094274,True,False,True,
COFFEE-030,overheating,CM-1003 reaches unsafe temperature before dispensing coffee.,brewing_system_overheating,brewing_system_overheating,diagnosed,fallback_diagnosis,get_temperature_history|get_sensor_alerts|search_application_logs,,CM-1003,CM-1003,True,4.108799999812618,True,False,True,
COFFEE-031,cleaning_overdue,Coffee from CM-1004 tastes unusually bitter.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,8.012900012545288,True,False,True,
COFFEE-032,cleaning_overdue,CM-1004 looks dirty and needs inspection.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,4.4781999895349145,True,False,True,
COFFEE-033,cleaning_overdue,The cleaning reminder on CM-1004 will not go away.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,4.903400025796145,True,False,True,
COFFEE-034,cleaning_overdue,CM-1004 has brewed more than 200 drinks since cleaning.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,4.996100004063919,True,False,True,
COFFEE-035,cleaning_overdue,Bitter residue appears in drinks from CM-1004.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,4.342100000940263,True,False,True,
COFFEE-036,cleaning_overdue,Descaling was postponed for CM-1004 and taste is getting worse.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,3.0232999997679144,True,False,True,
COFFEE-037,cleaning_overdue,CM-1004 reports CLEANING_OVERDUE.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,3.176400001393631,True,False,True,
COFFEE-038,cleaning_overdue,Please check the maintenance history for CM-1004.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,3.794699994614348,True,False,True,
COFFEE-039,cleaning_overdue,CM-1004 has not completed a cleaning cycle this week.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,7.038700015982613,True,False,True,
COFFEE-040,cleaning_overdue,Old coffee residue may explain the bitter drinks from CM-1004.,cleaning_cycle_overdue,cleaning_cycle_overdue,diagnosed,fallback_diagnosis,get_cleaning_status|get_recent_brews|search_application_logs,,CM-1004,CM-1004,True,10.282700008247048,True,False,True,
COFFEE-041,healthy,Check whether CM-1005 is operating normally.,no_machine_fault,no_machine_fault,normal,normal,get_machine_health|get_machine_status,,CM-1005,CM-1005,True,25.076799996895716,True,True,True,
COFFEE-042,healthy,One person disliked a drink from CM-1005; verify the machine.,no_machine_fault,no_machine_fault,normal,normal,get_machine_health|get_machine_status,,CM-1005,CM-1005,True,4.717900010291487,True,True,True,
COFFEE-043,healthy,Run a general health check for CM-1005.,no_machine_fault,no_machine_fault,normal,normal,get_machine_health|get_machine_status,,CM-1005,CM-1005,True,4.356699995696545,True,True,True,
COFFEE-044,healthy,Are supplies and temperature normal on CM-1005?,no_machine_fault,no_machine_fault,normal,normal,get_machine_health|get_machine_status,,CM-1005,CM-1005,True,4.56490000942722,True,True,True,
